client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
f8a90500c07725ae24adb6391abc0c5f44d999289479eb233c6d8ae691a02d34e7c26ac0e67f4608e3f5bfd4eb6fd637b95649d93c7625894dc2d7b193d018f9	common_voice_en_40189751.mp3	ea24889c3aae48b017ab07538bdac2dd495bdf97ffb8bb0e6b3d2b8ba0862af7	Peck was soon released without trial.		0	2	twenties		United States English		en	
f8a90500c07725ae24adb6391abc0c5f44d999289479eb233c6d8ae691a02d34e7c26ac0e67f4608e3f5bfd4eb6fd637b95649d93c7625894dc2d7b193d018f9	common_voice_en_40189782.mp3	ea36eac3423f57422208352d75aefb668c32e08bc30dd9517ffe4644ed736bd7	Uncle Sam costumes are worn on Independence Day in the United States.		0	2	twenties		United States English		en	
018d3b0534bf0c4c1c86c28da4b5fc60c73e0941400a4f853eb5d2badfd1b9d2f49e0033336b6a4d7a306635d45db4d0f105fb4b0b05cbface5b4810e756e239	common_voice_en_40191870.mp3	ea2a5028336c1b796ea91d89a4bfd104b0ef5a3597785b2fcef36f0f569172c4	Penningtons caters to plus sized women.		0	2	teens	male_masculine	Vietnam		en	
018d3b0534bf0c4c1c86c28da4b5fc60c73e0941400a4f853eb5d2badfd1b9d2f49e0033336b6a4d7a306635d45db4d0f105fb4b0b05cbface5b4810e756e239	common_voice_en_40191874.mp3	ea3f6c05ffdbbc4c77b44ac02226fcbc0b402a29184231b0a69a1d9ca7f6643d	Emergency Medical Services are provided by Cetronia Ambulance Corps.		0	2	teens	male_masculine	Vietnam		en	
018d3b0534bf0c4c1c86c28da4b5fc60c73e0941400a4f853eb5d2badfd1b9d2f49e0033336b6a4d7a306635d45db4d0f105fb4b0b05cbface5b4810e756e239	common_voice_en_40191884.mp3	ea36967c48e3eda978ec87ffc7f132feff90f46db7237c303fce5ba74dc0c96f	Ahmad rewarded him with the offices of prime minister and governor of Sana'a.		0	2	teens	male_masculine	Vietnam		en	
ff8f23f061245d69de7cccf1ee33e0ebd713c56e08f5a4a2f4732746be391af221f711cf9aee47cf8cc4c6402985c5231bff4ac03eaaa1e1a1cef4e1cdaf2936	common_voice_en_40193015.mp3	ea275945a3335dcfb621488922eb79766c8a85b5bdae2adabfeafe64516e93ea	Socialist Action has run candidates for elected office on a number of occasions.		0	2	fourties	male_masculine	India and South Asia (India, Pakistan, Sri Lanka)		en	
ff8f23f061245d69de7cccf1ee33e0ebd713c56e08f5a4a2f4732746be391af221f711cf9aee47cf8cc4c6402985c5231bff4ac03eaaa1e1a1cef4e1cdaf2936	common_voice_en_40193017.mp3	ea3247da8021fac87851ef577c203306d15161b7f07bda413acdee3eee13ad8e	American and British diplomatic representatives also attended the ceremony and laid wreaths.		0	2	fourties	male_masculine	India and South Asia (India, Pakistan, Sri Lanka)		en	
ff8f23f061245d69de7cccf1ee33e0ebd713c56e08f5a4a2f4732746be391af221f711cf9aee47cf8cc4c6402985c5231bff4ac03eaaa1e1a1cef4e1cdaf2936	common_voice_en_40193032.mp3	ea31a5753ddca16ce6ec6ec5b629733fbee716905f980b5639b860e2cbfa7016	He organised young "runners" to supply heroin on streets and in flat complexes.		0	4	fourties	male_masculine	India and South Asia (India, Pakistan, Sri Lanka)		en	
ff8f23f061245d69de7cccf1ee33e0ebd713c56e08f5a4a2f4732746be391af221f711cf9aee47cf8cc4c6402985c5231bff4ac03eaaa1e1a1cef4e1cdaf2936	common_voice_en_40193052.mp3	ea009cd97dca81005f6806c6601d98346aad39c2835474dd8fd16e49e710104a	Tourists can try apple picking at the Douglas Orchard and Cider Mill.		0	4	fourties	male_masculine	India and South Asia (India, Pakistan, Sri Lanka)		en	
ff8f23f061245d69de7cccf1ee33e0ebd713c56e08f5a4a2f4732746be391af221f711cf9aee47cf8cc4c6402985c5231bff4ac03eaaa1e1a1cef4e1cdaf2936	common_voice_en_40193054.mp3	ea32a065a44e86524f495fdf104dcd5fb675ca8645cc2da353339c452d05dbf5	She is the spokesperson for the Teton Sioux Nation Treaty Council.		2	2	fourties	male_masculine	India and South Asia (India, Pakistan, Sri Lanka)		en	
